Адрес организации,Номер телефона орагнизации,Номер дополнительного телефона орагнизации,email aдрес,Адрес сайта,Работает ли сайт?,title сайта организации,description сайта организации,keywords сайта организации,Cайт принадлежит организации?,Количество подписчиков Instagramm,Ссылки на соц. сети в Instagramm,Количество подписчиков VK,Ссылки на соц. сети в VK,Количество подписчиков youtube,Ссылки на соц. сети в youtube,id региона,Полное наименование об организации (по уставу),Краткое наименование организации,Дата создания организации,Юридическое лицо / Филиал,Общее количество сотрудников,Субъект РФ,Тип организации,Количество занимающихся детей,Количество занимающихся детей художественной направленностью,Количество занимающихся детей естественно-научной направленностью,Количество занимающихся детей технической направленностью,Количество занимающихся детей социально-педагогической направленностью,Количество занимающихся детей физкультурно-спортивной направленностью,Количество занимающихся детей туристической направленностью,Количество занимающихся детей интеллектуально игровой направленностью,Фактическая наполняемость,Количество педагогов,Количество педагогов художественной направленности,Количество педагогов естественно-научной направленности,Количество педагогов технической направленности,Количество педагогов социально-педагогической направленности,Количество педагогов физкультурно-спортивной направленности,Количество педагогов туристической направленности,Количество педагогов интеллектуально игровой направленности,okfs,okopf,ogrn,inn,Номер бланка лицензии,Кем выдана лицензии,Cрок лицензии,id,Техническое,Естественнонаучная
"обл. Иркутская, р-н. Ольхонский, п. Еланцы, ул. Пенкальского, 666130",83955852990,Неизвестно,olkhonddt@rambler.ru,http://ддт.уо-ормо.рф,True,"Муниципальное бюджетное учреждение дополнительного образования ""Ольхонский ДДТ"" | Предоставление услуг в электронном виде",Отсутсвует,Отсутсвует,True,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,30,"Муниципальное бюджетное учреждение дополнительного образования ""Ольхонский дом детского творчества""","МБУ ДО ""Ольхонский ДДТ""",1997-03-25,Юридическое лицо,23,Иркутская область,Организация дополнительного образования,330,130,0,72,79,0,49,0,433,16,4,0,3,5,0,4,0,Государственная собственность,Муниципальные бюджетные учреждения,1023802704507,3836002253,7683,Служба по контролю и надзору в сфере образования Иркутской области,Бессрочная,4769,True,False
"Респ. Дагестан, р-н. Карабудахкентский, с. Карабудахкент, 368530",89618341404,Неизвестно,cdodkarab@mail.ru,Неизвестно,False,Cайт не работает или не существует,Cайт не работает или не существует,Cайт не работает или не существует,False,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,74,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ""ЦЕНТР ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ДЕТЕЙ КАРАБУДАХКЕНТСКОГО РАЙОНА""","МКУ ДО ""ЦДОД Карабудахкентского района""",Не известно,Юридическое лицо,Неизвестно,Республика Дагестан,Организация дополнительного образования,988,791,29,56,0,0,112,0,Не известно,36,30,1,2,0,0,3,0,Неизвестно,Неизвестно,1130522000498,0522020136,Не известно,Не известно,Не известно,5661,True,True
"обл. Саратовская, р-н. Советский, с. Золотая Степь, ул. Садовая, дом 5, 413200",78456669123,Неизвестно,lyu13618005@yandex.ru,http://zolstep.ucoz.ru,True,МАОУ-СОШ с.Золотая Степь Советского района - Главная страница,Не найдено,Не найдено,True,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,51,Муниципальное бюджетное общеобразовательное учреждение-средняя общеобразовательная школа с. Золотая Степь Советского района Саратовской области,МБОУ-СОШ с. Золотая Степь Советского района Саратовской области,Не известно,Юридическое лицо,37,Саратовская область,Общеобразовательная организация,206,36,50,12,38,70,0,0,182,10,1,5,1,2,1,0,0,Государственная собственность,Муниципальные бюджетные учреждения,1026401993012,6433006405,1003,Министерство образования Саратовской области,Бессрочная,847,True,True
"г. Санкт-Петербург, ул. Пражская, дом 36, лит. А, 192241",88122463076,88122463070,school303@edu-frn.spb.ru,https://www.school303.spb.ru/,False,Cайт не работает или не существует,Cайт не работает или не существует,Cайт не работает или не существует,False,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,10,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 303 с углубленным изучением немецкого языка и предметов художественно-эстетического цикла имени Фридриха Шиллера Фрунзенского района Санкт-Петербурга,ГБОУ СОШ № 303 им. Фридриха Шиллера Фрунзенского района Санкт-Петербурга,1967-09-01,Юридическое лицо,77,Санкт-Петербург,Общеобразовательная организация,2224,786,315,157,515,340,111,0,2224,77,20,11,5,24,13,4,0,Государственная собственность,Государственные бюджетные учреждения субъектов Российской Федерации,1027807992850,7816165232,78Л01 №0000322,Комитет по образованию Правительства Санкт-Петербурга,Бессрочная,3582,True,True
"обл. Оренбургская, р-н. Александровский, с. Александровка, ул. Мичурина, 461830",83535921261,Неизвестно,alex_cvr@mail.ru,http://alex-cvr.ucoz.ru/,True,"МАУДО ""Центр развития"" - Главная страница",Не найдено,Не найдено,True,Нет аккаунта,Нет аккаунта,21,"{'https://vk.com/id485128728', 'https://vk.com/public189981859', 'https://vk.com/nurgaleiz'}",Нет аккаунта,Нет аккаунта,91,Муниципальное автономное учреждение дополнительного образования Александровского района Оренбургской области «Центр развития»,МАУДО «Центр развития» с. Александровка,2001-05-14,Юридическое лицо,73,Оренбургская область,Организация дополнительного образования,1214,279,28,159,496,60,192,0,1214,65,11,2,8,28,4,12,0,Государственная собственность,Муниципальные автономные учреждения,1025603294970,5621005868,56Л01 № 0004408,Министерство образования Оренбургской области,Бессрочная,5481,True,True
"обл. Курганская, р-н. Шатровский, с. Шатрово, ул. Федосеева, дом 57, 641960",83525791139,Неизвестно,shatddt@mail.ru,http://shatddy.ucoz.ru,True,"Главная страница - ""ДОМ ДЕТСТВА И ЮНОШЕСТВА""",Не найдено,Не найдено,True,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,37,Муниципальное казённое учреждение дополнительного образования «Шатровский Дом детства и юношества»,МКУ ДО Шатровский ДДЮ,Не известно,Юридическое лицо,19,Курганская область,Организация дополнительного образования,782,319,30,124,294,0,15,0,782,19,6,1,5,6,0,1,0,Неизвестно,Неизвестно,1034545001810,4523003123,45ЛО1 № 0000287,Департамент образования и науки Курганской области,Бессрочная,3471,True,True
"обл. Липецкая, р-н. Долгоруковский, с. Долгоруково, ул. Советская, 399510",84746821549,Неизвестно,cdod48@mail.ru,http://cdod.dolgorukovo48.ru,True,Новости,Не найдено,Не найдено,True,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,40,Муниципальное бюджетное учреждение дополнительного образования «Центр дополнительного образования детей» с. Долгоруково,МБУДОЦДОД с. Долгоруково,Не известно,Юридическое лицо,15,Липецкая область,Организация дополнительного образования,1076,322,141,67,137,304,105,0,1076,23,5,3,3,3,7,2,0,Государственная собственность,Муниципальные бюджетные учреждения,1064807020189,4807009048,0000925,Управление образования и науки Липецкой области,Бессрочная,2779,True,True
"обл. Ленинградская, р-н. Волосовский, г. Волосово, ул. Восстания, 188410",88137322495,Неизвестно,duc.volosovo-edu@bk.ru,https://duc.volosovo-edu.ru,False,Cайт не работает или не существует,Cайт не работает или не существует,Cайт не работает или не существует,False,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,39,"Муниципальное образовательное учреждение дополнительного образования ""Детско-юношеский центр"" г. Волосово",МОУ ДО ДЮЦ г. Волосово,1995-12-25,Юридическое лицо,61,Ленинградская область,Организация дополнительного образования,2494,575,0,20,1065,285,549,0,2494,61,14,0,1,23,6,17,0,Государственная собственность,Муниципальные казенные учреждения,1024702012499,4717006300,0000449,Комитет общего и профессионального образования Ленинградской области,Бессрочная,3682,True,False
"г. Санкт-Петербург, пр-кт. Кузнецова, дом 25, кор. 3, лит. А, 198328",88122413132,88122413128,271gimnaz@mail.ru,http://gimnaz271.krsl.gov.spb.ru/,True,Архив материалов - ГБОУ Гимназия №271 Красносельского района Санкт-Петербу,Не найдено,Не найдено,True,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,10,Государственное бюджетное общеобразовательное учреждение  гимназия №271 Красносельского района Санкт-Петербурга имени П.И.Федулова,ГБОУ гимназия №271 Красносельского района Санкт-Петербурга имени П.И.Федулова,Не известно,Юридическое лицо,Неизвестно,Санкт-Петербург,Общеобразовательная организация,1847,977,0,135,60,675,0,0,Не известно,50,20,0,6,3,21,0,0,Государственная собственность,Государственные бюджетные учреждения субъектов Российской Федерации,1027804599460,7807019330,78 №001736,Правительство Санкт-Петербурга Комитет по образованию,Бессрочная,3822,True,False
"обл. Челябинская, г. Кыштым, ул. Садовая, дом 2, 456870",83515140150,Неизвестно,strannik@kyshtym.org,https://strannik74.ru,True,"МОУ ДО  СДиЮТиЭ (ЮТ) ""СТРАННИК"" | МОУ ДО  СДиЮТиЭ (ЮТ) ""Странник""",Не найдено,Не найдено,True,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,61,"Муниципальное образовательное учреждение дополнительного образования Станция детского и юношеского туризма и экскурсий (юных туристов) ""Странник""","МОУ ДО СДиЮТиЭ (ЮТ) ""Странник""",1989-09-01,Юридическое лицо,19,Челябинская область,Организация дополнительного образования,682,180,149,0,119,0,234,0,682,19,5,4,0,6,0,4,0,Государственная собственность,Муниципальные бюджетные учреждения,1027400828400,7413007321,0002313,Министерство образования и науки Челябинской области,Бессрочная,362,False,True
